ZH000775	0.612	0.117	0.906	0.495	0.422	6.203	0	SH	2014-10-31	35	2016-10-13	
ZH000776	0.655	0.172	1.085	0.483	0.545	1.659	0	SH	2014-10-31	35	2016-10-13	
ZH000781	0.722	0.288	1.087	0.434	0.57	0.688	0	SH	2014-10-31	40	2016-10-13	
ZH000782	1.163	0.407	1.031	0.756	0.427	2.404	0	SH	2014-10-31	24017	2016-10-13	
ZH000785	0.353	0.058	0.796	0.295	0.608	0.961	0	SH	2014-10-31	363	2016-10-13	
ZH000796	0.26	0.001	0.713	0.259	0.436	1.826	0	SH	2014-10-31	275	2016-10-13	
ZH000799	0.914	0.438	1.218	0.476	0.653	0.531	0	SH	2014-11-03	1267	2016-10-13	
ZH000800	1.441	0.42	0.933	1.021	0.247	12.978	1	SH	2014-11-03	18	2016-10-13	
ZH000801	2.02	1.125	0.689	0.895	0.621	0.853	1	SH	2014-11-03	4806	2016-10-13	
ZH000802	0.487	0.086	0.871	0.401	0.413	2.908	0	SH	2014-11-03	183	2016-10-13	
ZH000803	0.362	0.051	0.335	0.311	0.38	0.663	0	SH	2014-11-03	263	2016-10-13	
ZH000808	0.344	0.047	0.628	0.297	0.53	1.029	0	SH	2014-11-03	20	2016-10-13	
ZH000815	1.023	0.287	0.874	0.736	0.363	4.347	1	SH	2014-11-03	52	2016-10-13	
ZH000819	0.792	0.228	1.032	0.564	0.543	2.019	0	SH	2014-11-03	40	2016-10-13	
ZH000827	0.456	0.081	0.632	0.375	0.486	1.384	0	SH	2014-11-03	14	2016-10-13	
ZH000831	0.937	0.307	0.928	0.63	0.453	1.769	62	SH	2014-11-03	46	2016-10-13	
ZH000837	2.291	0.919	0.983	1.372	0.336	5.068	0	SH	2014-11-03	1281	2016-10-13	
ZH000838	0.42	0.068	0.782	0.352	0.521	1.455	1	SH	2014-11-03	20	2016-10-13	
ZH000844	0.947	0.262	0.801	0.685	0.353	3.359	0	SH	2014-11-03	7353	2016-10-13	
ZH000850	0.282	0.059	0.468	0.223	0.533	0.496	1	SH	2014-11-03	813	2016-10-13	
ZH000851	0.226	0.02	0.998	0.206	0.613	0.464	0	SH	2014-11-03	184	2016-10-13	
ZH000852	0.496	0.095	0.668	0.401	0.338	2.021	0	SH	2014-11-03	363	2016-10-13	
ZH000856	1.189	0.245	0.299	0.944	0.153	2.172	1	SH	2014-11-03	29	2016-10-13	
ZH000858	1.337	0.513	1.118	0.824	0.374	2.054	1	SH	2014-11-03	1267	2016-10-13	
ZH000860	0.93	0.249	1.009	0.681	0.372	9.282	3	SH	2014-11-03	4392	2016-10-13	
ZH000873	1.21	0.27	0.64	0.94	0.256	6.279	7	SH	2014-11-03	34	2016-10-13	
ZH000876	1.262	0.525	0.441	0.737	0.445	1.156	5	SH	2014-11-03	19	2016-10-13	
ZH000885	0.556	0.174	1.174	0.382	0.646	0.776	3	SH	2014-11-03	616	2016-10-13	
ZH000889	2.073	0.646	0.236	1.427	0.226	2.607	1	SH	2014-11-03	208	2016-10-13	
ZH000892	1.019	0.38	0.813	0.639	0.592	1.15	11	SH	2014-11-03	23	2016-10-13	
ZH000896	0.39	0.069	1.167	0.321	0.561	1.18	0	SH	2014-11-03	187	2016-10-13	
ZH000905	0.576	0.117	1.096	0.459	0.418	6.831	0	SH	2014-11-03	16	2016-10-13	
ZH000908	0.964	0.323	0.944	0.641	0.537	1.754	3	SH	2014-11-03	249	2016-10-13	
ZH000909	0.327	0.069	1.188	0.258	0.623	0.474	0	SH	2014-11-03	214	2016-10-13	
ZH000914	0.407	0.051	0.858	0.356	0.476	4.353	0	SH	2014-11-03	25	2016-10-13	
ZH000916	0.765	0.277	0.851	0.488	0.477	0.918	0	SH	2014-11-03	57	2016-10-13	
ZH000919	0.775	0.189	0.704	0.586	0.323	2.936	0	SH	2014-11-03	29	2016-10-13	
ZH000920	0.834	0.14	0.191	0.694	0.127	0.997	0	SH	2014-11-03	52	2016-10-13	
ZH000923	0.838	0.228	0.369	0.61	0.353	1.109	0	SH	2014-11-03	231	2016-10-13	
ZH000924	1.421	0.275	0.134	1.146	0.091	1.564	5	SH	2014-11-03	4122	2016-10-13	
ZH000925	0.682	0.173	0.592	0.509	0.451	1.365	0	SH	2014-11-03	93	2016-10-13	
ZH000926	2.307	0.684	0.479	1.623	0.184	5.0	0	SH	2014-11-03	9744	2016-10-13	
ZH000929	1.288	0.45	0.982	0.838	0.324	2.248	0	SH	2014-11-03	101	2016-10-13	
ZH000932	0.834	0.175	0.63	0.659	0.387	3.633	0	SH	2014-11-03	24	2016-10-13	
ZH000936	1.401	0.386	0.847	1.015	0.251	11.17	6	SH	2014-11-03	25	2016-10-13	
ZH000937	1.775	0.846	1.218	0.929	0.439	1.262	5	SH	2014-11-03	2894	2016-10-13	
ZH000941	2.175	1.064	1.514	1.111	0.525	1.515	2	SH	2014-11-03	2179	2016-10-13	
ZH000944	0.725	0.258	1.252	0.467	0.583	0.863	0	SH	2014-11-03	351	2016-10-13	
ZH000949	1.117	0.325	0.847	0.792	0.334	4.501	0	SH	2014-11-03	15723	2016-10-13	
ZH000954	0.53	0.185	0.348	0.345	0.543	0.468	2	SH	2014-11-03	1357	2016-10-13	
ZH000959	1.18	0.277	0.779	0.903	0.286	12.838	2	SH	2014-11-03	44	2016-10-13	
ZH000964	2.016	0.704	0.882	1.312	0.381	4.326	3	SH	2014-11-03	226	2016-10-13	
ZH000968	1.626	0.908	1.33	0.718	0.439	0.659	0	SH	2014-11-03	796	2016-10-13	
ZH000969	0.994	0.282	0.802	0.712	0.345	3.305	0	SH	2014-11-03	11	2016-10-13	
ZH000975	0.421	0.083	0.418	0.338	0.465	0.806	0	SH	2014-11-03	36	2016-10-13	
ZH000979	1.033	0.233	0.69	0.8	0.353	6.552	44	SH	2014-11-03	135144	2016-10-13	
ZH000988	0.406	0.088	1.264	0.318	0.474	1.036	0	SH	2014-11-04	13	2016-10-13	
ZH000989	1.964	0.631	0.364	1.333	0.235	2.706	2	SH	2014-11-04	878	2016-10-13	
ZH000991	0.737	0.201	1.118	0.536	0.37	3.055	4	SH	2014-11-04	233	2016-10-13	
ZH000992	1.007	0.28	0.855	0.727	0.361	4.497	0	SH	2014-11-04	154	2016-10-13	
ZH000994	0.238	0.036	0.333	0.202	0.367	0.416	0	SH	2014-11-03	17	2016-10-13	
ZH000997	0.694	0.245	0.907	0.449	0.49	0.731	0	SH	2014-11-04	4360	2016-10-13	
ZH001003	0.746	0.159	0.687	0.587	0.355	3.347	1	SH	2014-11-04	526	2016-10-13	
ZH001007	0.523	0.143	0.815	0.38	0.663	1.031	0	SH	2014-11-04	13	2016-10-13	
ZH001015	1.017	0.326	0.346	0.691	0.298	1.302	0	SH	2014-11-04	118	2016-10-13	
ZH001018	2.509	1.213	0.995	1.296	0.365	1.602	6	SH	2014-11-04	209	2016-10-13	
ZH001020	0.862	0.315	1.105	0.547	0.66	0.971	2	SH	2014-11-04	456	2016-10-13	
ZH001023	0.376	0.058	0.88	0.318	0.481	1.247	0	SH	2014-11-04	57	2016-10-13	
ZH001029	0.21	0.002	0.832	0.208	0.543	0.929	0	SH	2014-11-04	76	2016-10-13	
ZH001031	0.671	0.241	0.621	0.43	0.528	0.808	1	SH	2014-11-04	393	2016-10-13	
ZH001032	0.839	0.199	0.852	0.64	0.401	5.522	1	SH	2014-11-04	81	2016-10-13	
ZH001033	1.491	0.519	0.841	0.972	0.297	3.298	0	SH	2014-11-04	731	2016-10-13	
ZH001035	1.092	0.36	0.929	0.732	0.267	2.573	2	SH	2014-11-04	277	2016-10-13	
ZH001036	1.519	0.463	0.954	1.056	0.252	9.538	0	SH	2014-11-04	16	2016-10-13	
ZH001037	0.285	0.047	0.771	0.238	0.527	0.598	0	SH	2014-11-04	23	2016-10-13	
ZH001039	0.846	0.226	0.599	0.62	0.515	1.942	1	SH	2014-11-04	44	2016-10-13	
ZH001040	0.694	0.285	1.198	0.409	0.677	0.584	0	SH	2014-11-04	767	2016-10-13	
ZH001044	1.258	0.417	1.096	0.841	0.308	4.75	0	SH	2014-11-04	39	2016-10-13	
ZH001045	2.203	1.013	0.852	1.19	0.545	1.821	11	SH	2014-11-04	2276	2016-10-13	
ZH001049	1.797	0.572	0.82	1.225	0.487	5.193	1	SH	2014-11-04	40	2016-10-13	
ZH001057	3.919	2.543	1.703	1.376	0.547	1.16	31	SH	2014-11-04	887	2016-10-13	
ZH001058	0.767	0.187	0.928	0.58	0.373	5.066	0	SH	2014-11-04	16	2016-10-13	
ZH001059	1.51	0.437	0.727	1.073	0.282	5.755	1	SH	2014-11-04	7063	2016-10-13	
ZH001065	0.621	0.26	1.061	0.361	0.685	0.517	2	SH	2014-11-04	44	2016-10-13	
ZH001067	0.554	0.109	0.397	0.445	0.373	1.059	0	SH	2014-11-04	261	2016-10-13	
ZH001070	0.388	0.118	1.816	0.27	0.646	0.324	0	SH	2014-11-04	1875	2016-10-13	
ZH001076	0.634	0.191	1.531	0.443	0.513	1.528	0	SH	2014-11-04	735	2016-10-13	
ZH001078	0.554	0.149	0.924	0.405	0.56	1.09	0	SH	2014-11-04	166	2016-10-13	
ZH001081	0.199	0.017	0.196	0.182	0.312	0.281	0	SH	2014-11-04	208	2016-10-13	
ZH001084	0.272	0.023	0.185	0.249	0.262	0.317	0	SH	2014-11-04	15	2016-10-13	
ZH001086	0.43	0.047	0.296	0.383	0.298	0.687	0	SH	2014-11-04	300	2016-10-13	
ZH001090	0.983	0.445	1.427	0.538	0.546	0.665	7	SH	2014-11-04	791	2016-10-13	
ZH001091	0.969	0.263	0.454	0.706	0.498	1.395	2	SH	2014-11-04	483	2016-10-13	
ZH001094	2.198	0.842	0.966	1.356	0.229	4.763	0	SH	2014-11-04	702	2016-10-13	
ZH001095	1.654	0.48	0.599	1.174	0.356	2.88	1	SH	2014-11-04	48	2016-10-13	
ZH001096	1.427	0.35	0.593	1.077	0.145	5.088	1	SH	2014-11-04	36	2016-10-13	
ZH001098	0.963	0.331	0.369	0.632	0.408	1.009	0	SH	2014-11-04	191	2016-10-13	
ZH001107	0.703	0.198	1.023	0.505	0.509	2.014	0	SH	2014-11-04	16	2016-10-13	
ZH001109	1.694	0.511	0.831	1.183	0.274	8.51	2	SH	2014-11-04	58	2016-10-13	
ZH001112	0.755	0.145	0.553	0.61	0.318	2.56	0	SH	2014-11-04	817	2016-10-13	
ZH001114	0.394	0.076	1.031	0.318	0.61	1.11	0	SH	2014-11-04	975	2016-10-13	
ZH001116	0.904	0.249	0.833	0.655	0.494	2.873	9	SH	2014-11-04	337	2016-10-13	
ZH001117	0.515	0.131	1.069	0.384	0.521	1.151	0	SH	2014-11-04	2779	2016-10-13	
ZH001125	2.481	0.865	0.363	1.616	0.223	2.974	1	SH	2014-11-04	4034	2016-10-13	
ZH001128	0.372	0.049	0.644	0.323	0.408	1.436	0	SH	2014-11-04	940	2016-10-13	
ZH001139	0.73	0.166	0.767	0.564	0.353	4.114	0	SH	2014-11-05	11568	2016-10-13	
ZH001140	0.784	0.181	0.852	0.603	0.341	5.694	0	SH	2014-11-05	155	2016-10-13	
ZH001141	0.624	0.106	0.283	0.518	0.236	1.066	0	SH	2014-11-05	103	2016-10-13	
